Ligand,expt_DG,expt_dDG
CAT-13a,-8.83,0.10
CAT-13b,-9.11,0.10
CAT-13c,-9.31,0.10
CAT-13d,-10.46,0.10
CAT-13e,-9.95,0.10
CAT-13f,-9.08,0.10
CAT-13g,-9.08,0.10
CAT-13h,-9.62,0.10
CAT-13i,-9.26,0.10
CAT-13j,-8.72,0.10
CAT-13k,-9.69,0.10
CAT-13m,-8.75,0.10
CAT-13n,-8.53,0.10
CAT-13o,-8.53,0.10
CAT-17a,-10.72,0.10
CAT-17b,-10.01,0.10
CAT-17c,-9.85,0.10
CAT-17d,-9.41,0.10
CAT-17e,-10.01,0.10
CAT-17f,-9.41,0.10
CAT-17g,-9.73,0.10
CAT-17h,-10.32,0.10
CAT-17i,-9.46,0.10
CAT-24,-11.34,0.10
CAT-4a,-7.92,0.10
CAT-4b,-9.62,0.10
CAT-4c,-7.84,0.10
CAT-4d,-9.10,0.10
CAT-4i,-8.25,0.10
CAT-4j,-9.01,0.10
CAT-4k,-7.84,0.10
CAT-4l,-9.33,0.10
CAT-4m,-9.14,0.10
CAT-4n,-9.08,0.10
CAT-4o,-9.37,0.10
CAT-4p,-10.07,0.10
