# Ligand1,Ligand2,exp_DDG, exp_dDDG,calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
# 5ns using amber14SB/openff-1.0.0/tip3p with 11 windows REPEX
# THIS IS WIP
23486, 23485, -1.460, 0.000, -3.158, 0.219, 0.000
20667(2qbp), 23482, -1.420, 0.000, -0.866, 0.332, 0.000
20670(2qbs), 23330(2qbq), 1.040, 0.000, 0.233, 0.321, 0.000
23471, 23468, 0.000, 0.000, -0.932, 0.251, 0.000
23467, 23474, 1.770, 0.000, -0.594, 0.360, 0.000
23477, 23483, 1.020, 0.000, -1.204, 0.408, 0.000
20670(2qbs), 23483, 0.790, 0.000, -0.012, 0.404, 0.000
23482, 23486, 2.470, 0.000, 2.023, 0.326, 0.000
23473, 20669(2qbr), 0.210, 0.000, -0.726, 0.198, 0.000
23482, 23485, 1.010, 0.000, 0.097, 0.339, 0.000
23477, 23466, -1.010, 0.000, -0.779, 0.334, 0.000
23467, 23468, 0.410, 0.000, 0.188, 0.321, 0.000
23484, 23486, 4.720, 0.000, -1.884, 0.243, 0.000
20670(2qbs), 23482, 0.920, 0.000, -0.363, 0.328, 0.000
23469, 23472, 0.920, 0.000, 2.659, 0.389, 0.000
20667(2qbp), 23479, -2.280, 0.000, -1.051, 0.421, 0.000
23477, 23467, -1.520, 0.000, -0.602, 0.352, 0.000
20670(2qbs), 23466, -1.240, 0.000, -1.590, 0.334, 0.000
23484, 23485, 3.260, 0.000, -4.107, 0.290, 0.000
20669(2qbr), 23472, 0.040, 0.000, 2.230, 0.359, 0.000
23467, 23473, 1.050, 0.000, 0.755, 0.295, 0.000
23477, 23330(2qbq), 1.270, 0.000, 0.273, 0.360, 0.000
23466, 23475, 0.870, 0.000, 1.030, 0.321, 0.000
20667(2qbp), 23484, -3.670, 0.000, 3.908, 0.281, 0.000
23483, 23479, -0.730, 0.000, -0.676, 0.379, 0.000
23477, 23482, 1.150, 0.000, 0.790, 0.353, 0.000
23477, 23479, 0.290, 0.000, 0.166, 0.322, 0.000
23474, 23466, -1.260, 0.000, -0.472, 0.363, 0.000
23467, 23466, 0.510, 0.000, -0.485, 0.248, 0.000
20667(2qbp), 23485, -0.410, 0.000, -0.696, 0.261, 0.000
23471, 23466, 0.100, 0.000, -0.570, 0.335, 0.000
23476, 23466, -1.560, 0.000, -1.131, 0.383, 0.000
23467, 23476, 2.070, 0.000, -0.416, 0.350, 0.000
23485, 23479, -1.870, 0.000, 0.245, 0.412, 0.000
23469, 20669(2qbr), 0.880, 0.000, -2.432, 0.347, 0.000
23484, 23479, 1.390, 0.000, -3.234, 0.477, 0.000
23480, 23479, 0.420, 0.000, 0.087, 0.204, 0.000
23467, 23469, 0.380, 0.000, 0.487, 0.372, 0.000
23480, 23482, 1.280, 0.000, -0.318, 0.354, 0.000
23471, 23470, -0.030, 0.000, -1.058, 0.320, 0.000
23467, 23470, 0.380, 0.000, -0.620, 0.359, 0.000
23482, 23479, -0.860, 0.000, -0.024, 0.393, 0.000
20670(2qbs), 23477, -0.230, 0.000, -0.319, 0.212, 0.000
20667(2qbp), 23486, 1.050, 0.000, 2.070, 0.167, 0.000
23467, 23475, 1.380, 0.000, 0.336, 0.324, 0.000
23486, 23479, -3.330, 0.000, 0.582, 0.434, 0.000
20670(2qbs), 23479, 0.060, 0.000, -0.021, 0.280, 0.000
23484, 23482, 2.250, 0.000, -5.063, 0.363, 0.000
20669(2qbr), 23466, -0.750, 0.000, 0.049, 0.343, 0.000
