# Ligand1,Ligand2,exp_DDG, exp_dDDG,calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
# 5ns using amber14SB/openff-1.0.0/tip3p with 11 windows REPEX
# THIS IS WIP
23486, 23485, -1.460, 0.000, -2.645, 0.238, 0.000
20667(2qbp), 23482, -1.420, 0.000, -0.486, 0.346, 0.000
20670(2qbs), 23330(2qbq), 1.040, 0.000, 0.559, 0.307, 0.000
23471, 23468, 0.000, 0.000, -0.889, 0.245, 0.000
23467, 23474, 1.770, 0.000, 0.273, 0.329, 0.000
23477, 23483, 1.020, 0.000, -1.229, 0.436, 0.000
20670(2qbs), 23483, 0.790, 0.000, -3.877, 0.368, 0.000
23482, 23486, 2.470, 0.000, 3.043, 0.320, 0.000
23473, 20669(2qbr), 0.210, 0.000, -0.881, 0.193, 0.000
23482, 23485, 1.010, 0.000, 0.097, 0.336, 0.000
23477, 23466, -1.010, 0.000, -0.939, 0.324, 0.000
23467, 23468, 0.410, 0.000, 1.250, 0.310, 0.000
23484, 23486, 4.720, 0.000, -1.165, 0.226, 0.000
20670(2qbs), 23482, 0.920, 0.000, 1.902, 0.320, 0.000
23469, 23472, 0.920, 0.000, 3.602, 0.387, 0.000
20667(2qbp), 23479, -2.280, 0.000, -0.569, 0.430, 0.000
23477, 23467, -1.520, 0.000, -0.502, 0.372, 0.000
20670(2qbs), 23466, -1.240, 0.000, -1.445, 0.343, 0.000
23484, 23485, 3.260, 0.000, -5.133, 0.285, 0.000
20669(2qbr), 23472, 0.040, 0.000, 2.471, 0.356, 0.000
23467, 23473, 1.050, 0.000, 1.574, 0.305, 0.000
23477, 23330(2qbq), 1.270, 0.000, 0.196, 0.310, 0.000
23466, 23475, 0.870, 0.000, 1.115, 0.327, 0.000
20667(2qbp), 23484, -3.670, 0.000, 3.792, 0.272, 0.000
23483, 23479, -0.730, 0.000, -1.213, 0.392, 0.000
23477, 23482, 1.150, 0.000, -2.212, 0.381, 0.000
23477, 23479, 0.290, 0.000, 0.091, 0.298, 0.000
23474, 23466, -1.260, 0.000, -0.475, 0.355, 0.000
23467, 23466, 0.510, 0.000, -0.249, 0.230, 0.000
20667(2qbp), 23485, -0.410, 0.000, -0.891, 0.272, 0.000
23471, 23466, 0.100, 0.000, -0.760, 0.310, 0.000
23476, 23466, -1.560, 0.000, -1.471, 0.393, 0.000
23467, 23476, 2.070, 0.000, 0.449, 0.360, 0.000
23485, 23479, -1.870, 0.000, 3.007, 0.430, 0.000
23469, 20669(2qbr), 0.880, 0.000, 2.747, 0.361, 0.000
23484, 23479, 1.390, 0.000, -3.722, 0.463, 0.000
23480, 23479, 0.420, 0.000, -0.084, 0.206, 0.000
23467, 23469, 0.380, 0.000, 0.431, 0.365, 0.000
23480, 23482, 1.280, 0.000, -0.444, 0.379, 0.000
23471, 23470, -0.030, 0.000, -0.477, 0.307, 0.000
23467, 23470, 0.380, 0.000, 3.494, 0.348, 0.000
23482, 23479, -0.860, 0.000, 0.408, 0.363, 0.000
20670(2qbs), 23477, -0.230, 0.000, -0.268, 0.216, 0.000
20667(2qbp), 23486, 1.050, 0.000, 1.953, 0.172, 0.000
23467, 23475, 1.380, 0.000, 0.251, 0.323, 0.000
23486, 23479, -3.330, 0.000, -3.008, 0.412, 0.000
20670(2qbs), 23479, 0.060, 0.000, -0.153, 0.263, 0.000
23484, 23482, 2.250, 0.000, -3.830, 0.348, 0.000
20669(2qbr), 23466, -0.750, 0.000, -0.347, 0.332, 0.000
