# Ligand1,Ligand2,exp_DDG, exp_dDDG,calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
# 5ns using amber14SB/gaff-1.81/tip3p with 11 windows REPEX
# THIS IS WIP
1d, 7a, -0.030, 0.000, -1.530, 0.379, 0.000
1b, 1c, 0.100, 0.000, 0.607, 0.192, 0.000
6a, 1b, -0.720, 0.000, -0.163, 0.198, 0.000
3a, 1b, 0.140, 0.000, 0.433, 0.152, 0.000
1b, 7a, -0.240, 0.000, -0.976, 0.306, 0.000
3a, 1d, -0.070, 0.000, 1.057, 0.184, 0.000
6e, 6b, -0.020, 0.000, -0.659, 0.239, 0.000
1d, 6e, 0.660, 0.000, -0.171, 0.268, 0.000
1b, 1a, -0.980, 0.000, -1.053, 0.306, 0.000
1b, 3b, -0.600, 0.000, -1.185, 0.217, 0.000
1d, 1c, 0.310, 0.000, -0.181, 0.235, 0.000
1d, 1a, -0.770, 0.000, -1.354, 0.412, 0.000
1a, 5, 0.100, 0.000, -0.275, 0.138, 0.000
1d, 5, -0.670, 0.000, -3.317, 0.227, 0.000
6a, 6b, -0.290, 0.000, -0.884, 0.247, 0.000
1a, 3b, 0.380, 0.000, 0.105, 0.249, 0.000
