# Ligand1,Ligand2,exp_DDG, exp_dDDG,calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
# 5ns using amber14SB/openff-1.0.0/tip3p with 11 windows REPEX
# THIS IS WIP
1d, 7a, -0.030, 0.000, -0.505, 0.363, 0.000
1b, 1c, 0.100, 0.000, -0.250, 0.162, 0.000
6a, 1b, -0.720, 0.000, -0.489, 0.197, 0.000
3a, 1b, 0.140, 0.000, 0.609, 0.143, 0.000
1b, 7a, -0.240, 0.000, -1.264, 0.308, 0.000
3a, 1d, -0.070, 0.000, -0.425, 0.183, 0.000
6e, 6b, -0.020, 0.000, -0.492, 0.219, 0.000
1d, 6e, 0.660, 0.000, 1.443, 0.284, 0.000
1b, 1a, -0.980, 0.000, -0.894, 0.313, 0.000
1b, 3b, -0.600, 0.000, -1.706, 0.224, 0.000
1d, 1c, 0.310, 0.000, -0.021, 0.216, 0.000
1d, 1a, -0.770, 0.000, -1.480, 0.447, 0.000
1a, 5, 0.100, 0.000, -0.368, 0.136, 0.000
1d, 5, -0.670, 0.000, -1.624, 0.234, 0.000
6a, 6b, -0.290, 0.000, -0.430, 0.219, 0.000
1a, 3b, 0.380, 0.000, 0.586, 0.234, 0.000
