# Ligand1,Ligand2,exp_DDG, exp_dDDG,calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
# 5ns using amber14SB/smirnoff99Frosst-1.1.0/tip3p with 11 windows REPEX
# THIS IS WIP
1d, 7a, -0.030, 0.000, -1.377, 0.398, 0.000
1b, 1c, 0.100, 0.000, -0.037, 0.178, 0.000
6a, 1b, -0.720, 0.000, -1.135, 0.212, 0.000
3a, 1b, 0.140, 0.000, 0.856, 0.146, 0.000
1b, 7a, -0.240, 0.000, -1.151, 0.269, 0.000
3a, 1d, -0.070, 0.000, 0.761, 0.180, 0.000
6e, 6b, -0.020, 0.000, -0.984, 0.221, 0.000
1d, 6e, 0.660, 0.000, 0.392, 0.261, 0.000
1b, 1a, -0.980, 0.000, -0.738, 0.293, 0.000
1b, 3b, -0.600, 0.000, -0.684, 0.217, 0.000
1d, 1c, 0.310, 0.000, 0.151, 0.190, 0.000
1d, 1a, -0.770, 0.000, -1.027, 0.373, 0.000
1a, 5, 0.100, 0.000, -0.819, 0.154, 0.000
1d, 5, -0.670, 0.000, -0.586, 0.269, 0.000
6a, 6b, -0.290, 0.000, -0.783, 0.215, 0.000
1a, 3b, 0.380, 0.000, -0.300, 0.228, 0.000
